parent	uorf_number	positions	length	rate
YAR066W	7	0, 231, 305, 320, 324, 383, 450	501	0.041916167664670656
YAL063C-A	11	52, 78, 109, 134, 287, 314, 317, 325, 363, 373, 467	501	0.0658682634730539
YAL062W	8	97, 207, 224, 304, 316, 322, 325, 379	501	0.04790419161676647
YAL061W	13	37, 52, 119, 127, 150, 238, 252, 304, 363, 390, 404, 425, 485	501	0.07784431137724551
YAL060W	5	63, 172, 334, 402, 428	501	0.029940119760479042
YAL059W	11	22, 41, 97, 172, 229, 237, 290, 319, 397, 442, 456	501	0.0658682634730539
YAL058W	10	39, 114, 129, 219, 244, 325, 366, 445, 468, 472	501	0.059880239520958084
YAL056W	14	2, 43, 71, 94, 272, 287, 328, 360, 368, 371, 374, 392, 412, 427	501	0.08383233532934131
YAL055W	9	50, 74, 126, 176, 197, 261, 468, 480, 491	501	0.05389221556886228
YAL054C	12	48, 67, 82, 93, 111, 159, 190, 198, 237, 249, 341, 354	501	0.0718562874251497
YAL053W	12	3, 27, 84, 116, 144, 208, 216, 237, 241, 396, 437, 441	501	0.0718562874251497
YAL051W	5	5, 104, 228, 361, 393	501	0.029940119760479042
YAL049C	9	98, 150, 167, 251, 309, 325, 364, 402, 449	501	0.05389221556886228
YAL048C	7	80, 114, 175, 207, 252, 332, 422	501	0.041916167664670656
YAL047C	11	1, 19, 44, 97, 103, 121, 199, 297, 302, 354, 436	501	0.0658682634730539
YAL044W-A	13	14, 17, 20, 66, 121, 154, 169, 324, 349, 373, 399, 433, 443	501	0.07784431137724551
YAL044C	8	63, 171, 232, 278, 312, 344, 473, 493	501	0.04790419161676647
YAL043C	12	23, 32, 38, 227, 259, 262, 281, 310, 345, 370, 389, 477	501	0.0718562874251497
YAL042W	9	162, 166, 216, 259, 288, 352, 424, 465, 478	501	0.05389221556886228
YAL041W	4	107, 125, 233, 468	501	0.023952095808383235
YAL040C	3	44, 58, 278	501	0.017964071856287425
YAL039C	7	41, 92, 259, 279, 413, 442, 460	501	0.041916167664670656
YAL038W	10	65, 80, 164, 180, 203, 207, 216, 248, 251, 386	501	0.059880239520958084
YAL036C	10	70, 85, 272, 348, 411, 440, 458, 469, 479, 493	501	0.059880239520958084
YAL035W	6	11, 110, 171, 179, 375, 404	501	0.03592814371257485
YAL034W-A	6	103, 115, 242, 248, 294, 323	501	0.03592814371257485
YAL034C	11	79, 106, 114, 141, 214, 279, 329, 336, 354, 461, 482	501	0.0658682634730539
YAL033W	10	19, 38, 42, 66, 94, 194, 198, 202, 229, 475	501	0.059880239520958084
YAL032C	10	41, 123, 141, 167, 170, 272, 338, 440, 458, 474	501	0.059880239520958084
YAL031C	18	1, 40, 103, 107, 130, 148, 163, 283, 291, 298, 318, 340, 376, 400, 421, 458, 479, 486	501	0.10778443113772455
YAL030W	6	32, 91, 158, 266, 357, 368	501	0.03592814371257485
YAL029C	4	70, 150, 180, 243	501	0.023952095808383235
YAL028W	6	43, 124, 290, 304, 371, 472	501	0.03592814371257485
YAL027W	13	34, 65, 173, 215, 224, 257, 273, 343, 404, 425, 438, 446, 482	501	0.07784431137724551
YAL026C	6	10, 34, 88, 111, 230, 443	501	0.03592814371257485
YAL025C	13	83, 96, 168, 183, 198, 220, 250, 260, 296, 322, 339, 402, 420	501	0.07784431137724551
YAL024C	9	11, 39, 66, 117, 191, 294, 360, 416, 443	501	0.05389221556886228
YAL023C	6	0, 34, 46, 75, 123, 132	501	0.03592814371257485
YAL022C	4	71, 385, 451, 455	501	0.023952095808383235
YAL021C	4	150, 177, 262, 329	501	0.023952095808383235
YAL020C	10	18, 125, 186, 199, 347, 355, 388, 438, 464, 469	501	0.059880239520958084
YAL019W	4	73, 332, 454, 470	501	0.023952095808383235
YAL018C	8	60, 118, 234, 239, 293, 342, 398, 454	501	0.04790419161676647
YAL017W	12	86, 96, 165, 210, 270, 312, 318, 337, 350, 406, 447, 455	501	0.0718562874251497
YAL016W	12	21, 57, 83, 92, 119, 147, 161, 185, 193, 329, 367, 419	501	0.0718562874251497
YAL014C	5	220, 315, 371, 471, 487	501	0.029940119760479042
YAL013W	3	87, 330, 440	501	0.017964071856287425
YAL012W	5	121, 298, 311, 446, 457	501	0.029940119760479042
YAL011W	7	8, 25, 148, 369, 403, 461, 465	501	0.041916167664670656
YAL010C	9	7, 13, 45, 95, 215, 260, 321, 340, 355	501	0.05389221556886228
YAL009W	9	39, 60, 83, 171, 237, 246, 286, 303, 449	501	0.05389221556886228
YAL008W	6	65, 128, 180, 264, 314, 334	501	0.03592814371257485
YAL007C	9	8, 39, 88, 138, 291, 337, 355, 358, 445	501	0.05389221556886228
YAL005C	4	87, 143, 146, 414	501	0.023952095808383235
YAL003W	7	24, 93, 132, 170, 182, 185, 469	501	0.041916167664670656
YAL002W	6	30, 114, 278, 352, 412, 489	501	0.03592814371257485
YAR002W	13	2, 72, 77, 91, 99, 202, 218, 260, 293, 329, 368, 438, 466	501	0.07784431137724551
YAR002C-A	8	7, 12, 23, 173, 191, 211, 228, 436	501	0.04790419161676647
YAR003W	4	44, 303, 375, 393	501	0.023952095808383235
YAR007C	8	40, 164, 173, 233, 245, 285, 372, 441	501	0.04790419161676647
YAR008W	8	17, 57, 88, 110, 215, 220, 375, 484	501	0.04790419161676647
YAR014C	15	23, 79, 107, 164, 184, 190, 276, 292, 296, 304, 313, 397, 433, 452, 460	501	0.08982035928143713
YAR015W	9	22, 79, 118, 203, 288, 346, 401, 407, 430	501	0.05389221556886228
YAR019C	9	87, 91, 102, 205, 236, 277, 296, 346, 408	501	0.05389221556886228
YAR023C	5	57, 152, 229, 387, 494	501	0.029940119760479042
YAR027W	14	44, 47, 59, 109, 122, 141, 187, 260, 314, 319, 342, 351, 445, 465	501	0.08383233532934131
YAR028W	11	23, 28, 198, 273, 295, 311, 317, 339, 354, 454, 477	501	0.0658682634730539
YAR033W	12	14, 19, 23, 35, 158, 229, 252, 389, 411, 420, 432, 482	501	0.0718562874251497
YAR035W	8	67, 140, 170, 182, 223, 232, 270, 302	501	0.04790419161676647
YAR042W	3	16, 124, 182	501	0.017964071856287425
YAL067C	12	12, 74, 115, 156, 220, 228, 260, 375, 385, 445, 448, 452	501	0.0718562874251497
YCR107W	11	4, 11, 55, 137, 175, 346, 352, 369, 432, 441, 483	501	0.0658682634730539
YCR106W	12	8, 64, 123, 157, 188, 195, 254, 288, 296, 306, 453, 477	501	0.0718562874251497
YBL105C	12	24, 33, 40, 77, 100, 122, 197, 202, 206, 225, 242, 381	501	0.0718562874251497
YBL104C	22	34, 45, 53, 68, 83, 88, 97, 129, 167, 188, 193, 229, 248, 289, 293, 327, 368, 372, 385, 412, 441, 453	501	0.1317365269461078
YBL103C	5	157, 309, 422, 461, 484	501	0.029940119760479042
YBL102W	8	123, 129, 137, 160, 203, 263, 360, 446	501	0.04790419161676647
YBL099W	4	36, 42, 304, 346	501	0.023952095808383235
YBL098W	7	74, 95, 123, 260, 270, 295, 481	501	0.041916167664670656
YBL097W	9	8, 15, 57, 77, 107, 206, 361, 366, 451	501	0.05389221556886228
YBL095W	14	25, 57, 90, 114, 167, 177, 217, 237, 243, 276, 294, 332, 477, 485	501	0.08383233532934131
YBL093C	5	98, 211, 317, 325, 329	501	0.029940119760479042
YBL092W	7	50, 60, 86, 103, 107, 300, 322	501	0.041916167664670656
YBL091C-A	13	11, 41, 70, 287, 320, 337, 349, 369, 403, 424, 427, 450, 471	501	0.07784431137724551
YBL091C	5	225, 327, 333, 341, 385	501	0.029940119760479042
YBL090W	4	32, 107, 370, 400	501	0.023952095808383235
YBL089W	9	50, 58, 136, 184, 241, 244, 278, 366, 408	501	0.05389221556886228
YBL088C	12	8, 14, 59, 105, 132, 164, 202, 214, 367, 405, 413, 495	501	0.0718562874251497
YBL086C	8	13, 163, 174, 248, 261, 314, 440, 479	501	0.04790419161676647
YBL084C	4	109, 295, 321, 395	501	0.023952095808383235
YBL082C	9	4, 132, 241, 274, 307, 312, 341, 376, 383	501	0.05389221556886228
YBL081W	8	117, 218, 230, 241, 276, 298, 333, 495	501	0.04790419161676647
YBL080C	6	52, 75, 186, 340, 401, 439	501	0.03592814371257485
YBL079W	9	22, 260, 301, 310, 317, 323, 327, 352, 421	501	0.05389221556886228
YBL078C	13	18, 89, 126, 156, 174, 208, 263, 269, 298, 303, 325, 356, 418	501	0.07784431137724551
YBL076C	13	17, 20, 68, 142, 214, 315, 334, 352, 355, 410, 413, 426, 461	501	0.07784431137724551
YBL075C	15	32, 103, 140, 173, 185, 194, 197, 287, 293, 302, 377, 388, 416, 465, 471	501	0.08982035928143713
YBL074C	6	37, 42, 102, 113, 182, 358	501	0.03592814371257485
YBL072C	12	1, 64, 77, 195, 202, 210, 217, 239, 261, 300, 370, 399	501	0.0718562874251497
YBL071W-A	10	48, 99, 125, 166, 188, 316, 363, 367, 393, 404	501	0.059880239520958084
YBL069W	10	6, 94, 141, 227, 290, 305, 322, 373, 402, 478	501	0.059880239520958084
YBL068W	13	8, 24, 57, 77, 112, 145, 187, 207, 224, 324, 356, 465, 484	501	0.07784431137724551
YBL067C	7	118, 136, 194, 197, 266, 298, 467	501	0.041916167664670656
YBL066C	12	0, 183, 210, 213, 243, 287, 319, 426, 446, 452, 456, 484	501	0.0718562874251497
YBL064C	7	55, 134, 142, 203, 238, 361, 425	501	0.041916167664670656
YBL063W	8	5, 111, 199, 246, 373, 383, 394, 486	501	0.04790419161676647
YBL061C	8	175, 259, 280, 350, 369, 373, 474, 477	501	0.04790419161676647
YBL060W	17	3, 7, 89, 248, 265, 269, 290, 298, 347, 358, 374, 379, 387, 406, 417, 422, 447	501	0.10179640718562874
YBL059C-A	10	23, 117, 125, 138, 163, 184, 215, 228, 307, 409	501	0.059880239520958084
YBL058W	8	140, 161, 178, 192, 263, 383, 423, 458	501	0.04790419161676647
YBL057C	11	17, 24, 66, 79, 100, 141, 144, 184, 260, 367, 413	501	0.0658682634730539
YBL056W	9	3, 28, 61, 196, 199, 267, 317, 366, 453	501	0.05389221556886228
YBL052C	18	65, 71, 80, 86, 89, 122, 128, 136, 142, 146, 150, 153, 176, 291, 302, 309, 325, 447	501	0.10778443113772455
YBL051C	7	17, 27, 88, 215, 218, 381, 397	501	0.041916167664670656
YBL050W	3	177, 265, 484	501	0.017964071856287425
YBL049W	4	4, 54, 133, 293	501	0.023952095808383235
YBL047C	5	122, 304, 323, 357, 374	501	0.029940119760479042
YBL046W	6	97, 118, 123, 308, 392, 427	501	0.03592814371257485
YBL045C	8	62, 75, 98, 130, 291, 297, 339, 344	501	0.04790419161676647
YBL043W	9	79, 86, 189, 316, 321, 337, 351, 361, 409	501	0.05389221556886228
YBL042C	10	24, 49, 104, 117, 132, 200, 253, 320, 396, 401	501	0.059880239520958084
YBL041W	4	2, 95, 282, 307	501	0.023952095808383235
YBL040C	3	134, 390, 475	501	0.017964071856287425
