	chr	start	end	name	score	strand
0	chrI	102925	102960	YAL026C	1	-
1	chrI	104328	104339	YAL025C	1	-
2	chrI	109122	109174	YAL024C	1	-
3	chrI	111783	111863	YAL023C	1	-
4	chrI	113601	113640	YAL022C	1	-
5	chrI	116551	116595	YAL021C	1	-
6	chrI	117733	117830	YAL020C	1	-
7	chrI	117965	117995	YAL019W	1	+
8	chrI	122724	122824	YAL018C	1	-
9	chrI	123005	123054	YAL017W	1	+
10	chrI	127941	127987	YAL016W	1	+
11	chrI	131239	131267	YAL015C	1	-
12	chrI	132199	132281	YAL014C	1	-
13	chrI	132363	132418	YAL013W	1	+
14	chrI	133849	133918	YAL012W	1	+
15	chrI	135338	135359	YAL011W	1	+
16	chrI	138835	138879	YAL010C	1	-
17	chrI	138955	139018	YAL009W	1	+
18	chrI	139969	140075	YAL008W	1	+
19	chrI	141547	141629	YAL007C	1	-
20	chrI	144538	144839	YAL005C	1	-
21	chrI	145117	145340	YAL003W	1	+
22	chrI	15317	15352	YAR066W	1	-
23	chrI	155369	155394	YAR002W	1	+
24	chrI	157889	157964	YAR002C-A	1	-
25	chrI	158080	158130	YAR003W	1	+
26	chrI	161811	161878	YAR007C	1	-
27	chrI	161997	162063	YAR008W	1	+
28	chrI	166252	166288	YAR014C	1	-
29	chrI	166453	166549	YAR015W	1	+
30	chrI	168932	168981	YAR018C	1	-
31	chrI	172360	172421	YAR019C	1	-
32	chrI	177302	177350	YAR023C	1	-
33	chrI	186437	186580	YAR027W	1	+
34	chrI	187646	187694	YAR028W	1	+
35	chrI	190841	190867	YAR033W	1	+
36	chrI	192904	192980	YAR035W	1	+
37	chrI	195336	195391	YAR042W	1	+
38	chrI	212091	212104	YAL067C	1	+
39	chrI	34516	34750	YAL062W	1	+
40	chrI	36476	36616	YAL061W	1	+
41	chrI	38234	38313	YAL060W	1	+
42	chrI	39701	39758	YAL059W	1	+
43	chrI	40556	40638	YAL058W	1	+
44	chrI	42376	42414	YAL056W	1	+
45	chrI	45310	45389	YAL055W	1	+
46	chrI	48126	48287	YAL054C	1	-
47	chrI	48848	49080	YAL053W	1	+
48	chrI	51664	51736	YAL051W	1	+
49	chrI	55757	55891	YAL049C	1	-
50	chrI	57970	57980	YAL048C	1	-
51	chrI	60058	60067	YAL047C	1	-
52	chrI	60554	60605	YAL046C	1	-
53	chrI	60626	60713	YAL044W-A	1	+
54	chrI	61622	61700	YAL044C	1	-
55	chrI	64233	64274	YAL043C	1	-
56	chrI	64445	64485	YAL042W	1	+
57	chrI	65940	66001	YAL041W	1	+
58	chrI	71016	71065	YAL040C	1	-
59	chrI	72710	72827	YAL039C	1	-
60	chrI	74814	74950	YAL038W	1	+
61	chrI	79343	79365	YAL036C	1	-
62	chrI	79536	79580	YAL035W	1	+
63	chrI	82834	82861	YAL034W-A	1	+
64	chrI	85134	85197	YAL034C	1	-
65	chrI	85845	85865	YAL033W	1	+
66	chrI	87638	87676	YAL032C	1	-
67	chrI	90187	90240	YAL031C	1	-
68	chrI	90398	90491	YAL030W	1	+
69	chrI	95460	95461	YAL029C	1	-
70	chrI	95997	96055	YAL028W	1	+
71	chrI	97756	97808	YAL027W	1	+
72	chrII	102455	102494	YBL076C	1	-
73	chrII	104627	104754	YBL075C	1	-
74	chrII	106216	106255	YBL074C	1	-
75	chrII	107315	107318	YBL072C	1	-
76	chrII	108116	108153	YBL071W-A	1	+
77	chrII	108806	108870	YBL069W	1	+
78	chrII	110540	110595	YBL068W	1	+
79	chrII	114277	114363	YBL067C	1	-
80	chrII	118327	118365	YBL066C	1	-
81	chrII	119324	119417	YBL064C	1	-
82	chrII	120007	120071	YBL063W	1	+
83	chrII	125637	125721	YBL061C	1	-
84	chrII	126060	126099	YBL060W	1	+
85	chrII	128744	128761	YBL059C-A	1	-
86	chrII	129577	129599	YBL058W	1	+
87	chrII	131623	131643	YBL057C	1	-
88	chrII	131799	131915	YBL056W	1	+
89	chrII	134984	135074	YBL055C	1	-
90	chrII	135591	135660	YBL054W	1	+
91	chrII	140281	140348	YBL052C	1	-
92	chrII	142977	143022	YBL051C	1	-
93	chrII	143208	143272	YBL050W	1	+
94	chrII	144704	144944	YBL049W	1	+
95	chrII	150336	150401	YBL047C	1	-
96	chrII	150574	150602	YBL046W	1	+
97	chrII	153762	153977	YBL045C	1	-
98	chrII	154720	154820	YBL043W	1	+
99	chrII	158497	158531	YBL042C	1	-
100	chrII	159362	159435	YBL041W	1	+
101	chrII	161078	161117	YBL040C	1	-
102	chrII	161436	161540	YBL039W-B	1	+
103	chrII	163970	163996	YBL039C	1	-
104	chrII	164285	164327	YBL038W	1	+
105	chrII	165287	165320	YBL037W	1	+
106	chrII	171883	171899	YBL035C	1	-
107	chrII	176620	176668	YBL034C	1	-
108	chrII	177891	177941	YBL033C	1	-
109	chrII	178265	178343	YBL032W	1	+
110	chrII	179844	179910	YBL031W	1	+
111	chrII	182187	182357	YBL030C	1	-
112	chrII	182966	183084	YBL029C-A	1	-
113	chrII	184275	184332	YBL029W	1	+
114	chrII	186059	186100	YBL028C	1	-
115	chrII	188712	188802	YBL026W	1	+
116	chrII	189577	189665	YBL025W	1	+
117	chrII	190682	190718	YBL024W	1	+
118	chrII	195764	195855	YBL023C	1	-
119	chrII	199485	199486	YBL022C	1	-
120	chrII	200237	200346	YBL021C	1	-
121	chrII	200498	200532	YBL020W	1	+
122	chrII	202478	202586	YBL019W	1	+
123	chrII	204666	204715	YBL018C	1	-
124	chrII	209939	209979	YBL017C	1	-
125	chrII	212199	212364	YBL015W	1	+
126	chrII	220629	220645	YBL014C	1	-
127	chrII	220847	220903	YBL013W	1	+
128	chrII	222291	222329	YBL011W	1	+
129	chrII	225801	225857	YBL010C	1	-
130	chrII	225953	226024	YBL009W	1	+
131	chrII	228392	228470	YBL008W	1	+
132	chrII	23511	23549	YCR106W	1	-
133	chrII	235254	235307	YBL007C	1	-
134	chrII	235978	236019	YBL006C	1	-
135	chrII	236206	236264	YBL005W	1	+
136	chrII	249305	249508	YBL003C	1	-
137	chrII	249910	250172	YBL002W	1	+
138	chrII	251042	251188	YBL001C	1	-
139	chrII	254946	255055	YBR001C	1	-
140	chrII	256175	256214	YBR002C	1	-
141	chrII	256382	256406	YBR003W	1	+
142	chrII	259195	259337	YBR004C	1	-
143	chrII	259422	259505	YBR005W	1	+
144	chrII	260437	260580	YBR006W	1	+
145	chrII	264548	264627	YBR007C	1	-
146	chrII	268006	268047	YBR008C	1	-
147	chrII	269240	269479	YBR009C	1	-
148	chrII	269818	269990	YBR010W	1	+
149	chrII	271596	271651	YBR011C	1	-
150	chrII	275031	275124	YBR014C	1	-
151	chrII	277257	277351	YBR015C	1	-
152	chrII	277880	277958	YBR016W	1	+
153	chrII	281431	281465	YBR017C	1	-
154	chrII	288976	289056	YBR021W	1	+
155	chrII	291330	291394	YBR022W	1	+
156	chrII	295707	295757	YBR023C	1	-
157	chrII	296969	297055	YBR024W	1	+
158	chrII	299555	299697	YBR025C	1	-
159	chrII	301638	301810	YBR026C	1	-
160	chrII	303706	303794	YBR028C	1	-
161	chrII	305441	305542	YBR029C	1	-
162	chrII	305876	305903	YBR030W	1	+
163	chrII	307739	307816	YBR031W	1	+
164	chrII	309464	309594	YBR033W	1	+
165	chrII	313639	313684	YBR034C	1	-
166	chrII	314602	314659	YBR035C	1	-
167	chrII	317941	318070	YBR036C	1	-
168	chrII	319128	319165	YBR037C	1	-
169	chrII	319451	319533	YBR038W	1	+
170	chrII	323146	323216	YBR039W	1	+
171	chrII	325841	325902	YBR041W	1	+
172	chrII	329279	329337	YBR042C	1	-
173	chrII	331544	331759	YBR043C	1	-
174	chrII	333718	333833	YBR044C	1	-
175	chrII	337866	337871	YBR045C	1	-
