genes,coordinates
YAL026C,chrI:102925-102959:-
YAL025C,chrI:104328-104338:-
YAL024C,chrI:109122-109173:-
YAL023C,chrI:111783-111862:-
YAL022C,chrI:113601-113639:-
YAL021C,chrI:116551-116594:-
YAL020C,chrI:117733-117829:-
YAL019W,chrI:117965-117994:+
YAL018C,chrI:122724-122823:-
YAL017W,chrI:123005-123053:+
YAL016W,chrI:127941-127986:+
YAL015C,chrI:131239-131266:-
YAL014C,chrI:132199-132280:-
YAL013W,chrI:132363-132417:+
YAL012W,chrI:133849-133917:+
YAL011W,chrI:135338-135358:+
YAL010C,chrI:138835-138878:-
YAL009W,chrI:138955-139017:+
YAL008W,chrI:139969-140074:+
YAL007C,chrI:141547-141628:-
YAL005C,chrI:144538-144838:-
YAL003W,chrI:145117-145339:+
YAR066W,chrI:15317-15351:-
YAR002W,chrI:155369-155393:+
YAR002C-A,chrI:157889-157963:-
YAR003W,chrI:158080-158129:+
YAR007C,chrI:161811-161877:-
YAR008W,chrI:161997-162062:+
YAR014C,chrI:166252-166287:-
YAR015W,chrI:166453-166548:+
YAR018C,chrI:168932-168980:-
YAR019C,chrI:172360-172420:-
YAR023C,chrI:177302-177349:-
YAR027W,chrI:186437-186579:+
YAR028W,chrI:187646-187693:+
YAR033W,chrI:190841-190866:+
YAR035W,chrI:192904-192979:+
YAR042W,chrI:195336-195390:+
YAL067C,chrI:212091-212103:+
YAL062W,chrI:34516-34749:+
YAL061W,chrI:36476-36615:+
YAL060W,chrI:38234-38312:+
YAL059W,chrI:39701-39757:+
YAL058W,chrI:40556-40637:+
YAL056W,chrI:42376-42413:+
YAL055W,chrI:45310-45388:+
YAL054C,chrI:48126-48286:-
YAL053W,chrI:48848-49079:+
YAL051W,chrI:51664-51735:+
YAL049C,chrI:55757-55890:-
YAL048C,chrI:57970-57979:-
YAL047C,chrI:60058-60066:-
YAL046C,chrI:60554-60604:-
YAL044W-A,chrI:60626-60712:+
YAL044C,chrI:61622-61699:-
YAL043C,chrI:64233-64273:-
YAL042W,chrI:64445-64484:+
YAL041W,chrI:65940-66000:+
YAL040C,chrI:71016-71064:-
YAL039C,chrI:72710-72826:-
YAL038W,chrI:74814-74949:+
YAL036C,chrI:79343-79364:-
YAL035W,chrI:79536-79579:+
YAL034W-A,chrI:82834-82860:+
YAL034C,chrI:85134-85196:-
YAL033W,chrI:85845-85864:+
YAL032C,chrI:87638-87675:-
YAL031C,chrI:90187-90239:-
YAL030W,chrI:90398-90490:+
YAL029C,chrI:95460:-
YAL028W,chrI:95997-96054:+
YAL027W,chrI:97756-97807:+
YBL076C,chrII:102455-102493:-
YBL075C,chrII:104627-104753:-
YBL074C,chrII:106216-106254:-
YBL072C,chrII:107315-107317:-
YBL071W-A,chrII:108116-108152:+
YBL069W,chrII:108806-108869:+
YBL068W,chrII:110540-110594:+
YBL067C,chrII:114277-114362:-
YBL066C,chrII:118327-118364:-
YBL064C,chrII:119324-119416:-
YBL063W,chrII:120007-120070:+
YBL061C,chrII:125637-125720:-
YBL060W,chrII:126060-126098:+
YBL059C-A,chrII:128744-128760:-
YBL058W,chrII:129577-129598:+
YBL057C,chrII:131623-131642:-
YBL056W,chrII:131799-131914:+
YBL055C,chrII:134984-135073:-
YBL054W,chrII:135591-135659:+
YBL052C,chrII:140281-140347:-
YBL051C,chrII:142977-143021:-
YBL050W,chrII:143208-143271:+
YBL049W,chrII:144704-144943:+
YBL047C,chrII:150336-150400:-
YBL046W,chrII:150574-150601:+
YBL045C,chrII:153762-153976:-
YBL043W,chrII:154720-154819:+
YBL042C,chrII:158497-158530:-
YBL041W,chrII:159362-159434:+
YBL040C,chrII:161078-161116:-
YBL039W-B,chrII:161436-161539:+
YBL039C,chrII:163970-163995:-
YBL038W,chrII:164285-164326:+
YBL037W,chrII:165287-165319:+
YBL035C,chrII:171883-171898:-
YBL034C,chrII:176620-176667:-
YBL033C,chrII:177891-177940:-
YBL032W,chrII:178265-178342:+
YBL031W,chrII:179844-179909:+
YBL030C,chrII:182187-182356:-
YBL029C-A,chrII:182966-183083:-
YBL029W,chrII:184275-184331:+
YBL028C,chrII:186059-186099:-
YBL026W,chrII:188712-188801:+
YBL025W,chrII:189577-189664:+
YBL024W,chrII:190682-190717:+
YBL023C,chrII:195764-195854:-
YBL022C,chrII:199485:-
YBL021C,chrII:200237-200345:-
YBL020W,chrII:200498-200531:+
YBL019W,chrII:202478-202585:+
YBL018C,chrII:204666-204714:-
YBL017C,chrII:209939-209978:-
YBL015W,chrII:212199-212363:+
YBL014C,chrII:220629-220644:-
YBL013W,chrII:220847-220902:+
YBL011W,chrII:222291-222328:+
YBL010C,chrII:225801-225856:-
YBL009W,chrII:225953-226023:+
YBL008W,chrII:228392-228469:+
YCR106W,chrII:23511-23548:-
YBL007C,chrII:235254-235306:-
YBL006C,chrII:235978-236018:-
YBL005W,chrII:236206-236263:+
YBL003C,chrII:249305-249507:-
YBL002W,chrII:249910-250171:+
YBL001C,chrII:251042-251187:-
YBR001C,chrII:254946-255054:-
YBR002C,chrII:256175-256213:-
YBR003W,chrII:256382-256405:+
YBR004C,chrII:259195-259336:-
YBR005W,chrII:259422-259504:+
YBR006W,chrII:260437-260579:+
YBR007C,chrII:264548-264626:-
YBR008C,chrII:268006-268046:-
YBR009C,chrII:269240-269478:-
YBR010W,chrII:269818-269989:+
YBR011C,chrII:271596-271650:-
YBR014C,chrII:275031-275123:-
YBR015C,chrII:277257-277350:-
YBR016W,chrII:277880-277957:+
YBR017C,chrII:281431-281464:-
YBR021W,chrII:288976-289055:+
YBR022W,chrII:291330-291393:+
YBR023C,chrII:295707-295756:-
YBR024W,chrII:296969-297054:+
YBR025C,chrII:299555-299696:-
YBR026C,chrII:301638-301809:-
YBR028C,chrII:303706-303793:-
YBR029C,chrII:305441-305541:-
YBR030W,chrII:305876-305902:+
YBR031W,chrII:307739-307815:+
YBR033W,chrII:309464-309593:+
YBR034C,chrII:313639-313683:-
YBR035C,chrII:314602-314658:-
YBR036C,chrII:317941-318069:-
YBR037C,chrII:319128-319164:-
YBR038W,chrII:319451-319532:+
YBR039W,chrII:323146-323215:+
YBR041W,chrII:325841-325901:+
YBR042C,chrII:329279-329336:-
YBR043C,chrII:331544-331758:-
YBR044C,chrII:333718-333832:-
YBR045C,chrII:337866-337870:-
YBR046C,chrII:339166-339251:-
YBR047W,chrII:339399-339535:+
YBR049C,chrII:344486-344632:-
YBR050C,chrII:345900-346050:-
YBR052C,chrII:346908-347128:-
YBR053C,chrII:348407-348455:-
YBR054W,chrII:350411-350468:+
YBL107C,chrII:35080-35157:-
YBR055C,chrII:354961-354978:-
YBR056W,chrII:355420-355529:+
YBR057C,chrII:361350-361388:-
YBR058C,chrII:363966-364045:-
YBR058C-A,chrII:364513-364599:-
