"score"	"consensus.cluster"	"tpm"	"annotation"	"genes"	"coordinates"
"1"	1837.95166517792	1	1837.95166517792	"unknown"	""	"chr_spikes:11-19:+"
"2"	285.575466726942	3	284.331988176197	"unknown"	""	"chr_spikes:1142-1149:+"
"3"	8.01748143923358	6	6.8032876855975	"unknown"	""	"chr_spikes:127:-"
"4"	3.79811947719808	7	2.25309434067832	"unknown"	""	"chr_spikes:1344:-"
"5"	3.7383684585536	8	2.20283547424494	"unknown"	""	"chr_spikes:1446:-"
"6"	19.0979225904369	4	14.2467973483674	"unknown"	""	"chr_spikes:1561-1609:+"
"7"	150.712994111229	5	150.712994111229	"unknown"	""	"chr_spikes:2581:+"
"8"	2.68022408887103	2	1.39786580837706	"unknown"	""	"chr_spikes:678:+"
"9"	25.5349589578988	128	19.3952973434357	"unknown"	""	"chrI:10089-10129:-"
"10"	5.49648321870632	190	3.18030546556782	"unknown"	"YAL026C"	"chrI:102614:-"
"11"	205.234377872847	191	203.855433570365	"unknown"	"YAL026C"	"chrI:102925-102959:-"
"12"	27.9127555974828	192	27.9127555974828	"unknown"	"YAL025C"	"chrI:104328-104338:-"
"13"	7.55914464113336	129	5.94092968560251	"unknown"	""	"chrI:10595-10610:-"
"14"	1.26062210263746	130	1.0483993562828	"unknown"	""	"chrI:10726:-"
"15"	5.22482356307053	131	4.36833065117831	"unknown"	""	"chrI:10801-10807:-"
"16"	3.23475122838035	132	1.02816821037555	"unknown"	""	"chrI:10900:-"
"17"	142.674772299692	193	139.336087522783	"unknown"	"YAL024C"	"chrI:109122-109173:-"
"18"	1.02816821037555	194	1.02816821037555	"unknown"	"YAL023C"	"chrI:110537:-"
"19"	9.38957302305188	70	6.17617968492399	"unknown"	""	"chrI:111696-111730:+"
"20"	1151.86026397665	195	1150.70787917253	"unknown"	"YAL023C"	"chrI:111783-111862:-"
"21"	218.446267444195	196	218.446267444195	"unknown"	"YAL022C"	"chrI:113601-113639:-"
"22"	14.7999358529284	71	9.39521917198737	"unknown"	""	"chrI:113813-113825:+"
"23"	297.178123010508	197	295.212571385651	"unknown"	"YAL021C"	"chrI:116551-116594:-"
"24"	508.240251799515	198	503.213281979222	"unknown"	"YAL020C"	"chrI:117733-117829:-"
"25"	59.7329466421392	72	55.6954494042466	"unknown"	"YAL019W"	"chrI:117965-117994:+"
"26"	1.56884605858096	73	1.31180400598707	"unknown"	""	"chrI:122390:+"
"27"	185.121983852016	199	181.641851114364	"unknown"	"YAL018C"	"chrI:122724-122823:-"
"28"	398.856716629151	74	394.747849868911	"unknown"	"YAL017W"	"chrI:123005-123053:+"
"29"	3.9904502083404	200	1.08508014796547	"unknown"	""	"chrI:123168:-"
"30"	19.2261090783321	133	17.7812150062392	"unknown"	""	"chrI:12455-12473:-"
"31"	1203.66962821373	75	1202.2139398827	"unknown"	"YAL016W"	"chrI:127941-127986:+"
"32"	1.68425974792626	76	1.0483993562828	"unknown"	"YAL016W"	"chrI:128522:+"
"33"	16.9358094471111	134	14.9114677430892	"unknown"	""	"chrI:13010-13018:-"
"34"	73.0404786853821	201	73.0404786853821	"unknown"	"YAL015C"	"chrI:131239-131266:-"
"35"	4.80317256787755	202	2.62733246352881	"unknown"	"YAL014C"	"chrI:131913:-"
"36"	3.53582196688383	77	2.20283547424494	"unknown"	""	"chrI:131962:+"
"37"	334.227691563965	203	333.111703326123	"unknown"	"YAL014C"	"chrI:132199-132280:-"
"38"	1187.3521555316	78	1187.3521555316	"unknown"	"YAL013W"	"chrI:132363-132417:+"
"39"	2.60540011222542	204	1.28236744759556	"unknown"	""	"chrI:132629:-"
"40"	300.831417540467	79	299.824115186204	"unknown"	"YAL012W"	"chrI:133849-133917:+"
"41"	2.70720900772442	205	1.57259903442419	"unknown"	""	"chrI:134009:-"
"42"	1.84016120460986	206	1.02816821037555	"unknown"	""	"chrI:135106:-"
"43"	24.0228494292351	207	19.0723615452568	"unknown"	""	"chrI:135159-135175:-"
"44"	63.7462462778285	80	61.4388108122496	"unknown"	"YAL011W"	"chrI:135338-135358:+"
"45"	22.2501596407776	208	22.2501596407776	"unknown"	"YAL010C"	"chrI:138696:-"
"46"	234.168747948598	209	231.938866300473	"unknown"	"YAL010C"	"chrI:138835-138878:-"
"47"	124.786591298167	81	117.021428939883	"unknown"	"YAL009W"	"chrI:138955-139017:+"
"48"	860.306102412254	82	852.052327361874	"unknown"	"YAL008W"	"chrI:139969-140074:+"
"49"	3.11392030062175	210	1.22313258232993	"unknown"	""	"chrI:140161:-"
"50"	21.1145501188083	211	21.1145501188083	"unknown"	""	"chrI:140223:-"
"51"	1.65101153833199	212	1.02816821037555	"unknown"	""	"chrI:140365:-"
"52"	1.02816821037555	83	1.02816821037555	"unknown"	"YAL008W"	"chrI:140477:+"
"53"	2.17690578297983	213	1.28521026296944	"unknown"	""	"chrI:140500:-"
"54"	485.145885804907	214	478.6076416887	"unknown"	"YAL007C"	"chrI:141547-141628:-"
"55"	1.2579922607893	215	1.02816821037555	"unknown"	""	"chrI:142206:-"
"56"	3.67366384063632	216	2.313378473345	"unknown"	"YAL005C"	"chrI:142851:-"
"57"	2.64632397703002	84	1.28521026296944	"unknown"	""	"chrI:144185:+"
"58"	1.20290143642269	217	1.02816821037555	"unknown"	"YAL005C"	"chrI:144270:-"
"59"	2.62294529099713	218	1.02816821037555	"unknown"	"YAL005C"	"chrI:144426:-"
"60"	16.4612028884043	85	13.8926303108843	"unknown"	""	"chrI:144499:+"
"61"	6144.93526996185	219	6127.10444792704	"unknown"	"YAL005C"	"chrI:144538-144838:-"
"62"	52.9490731034637	86	52.9490731034637	"unknown"	""	"chrI:144565-144579:+"
"63"	5.06415942613977	87	4.40722402568218	"unknown"	""	"chrI:144749:+"
"64"	2221.23032051103	88	2198.50439376889	"unknown"	"YAL003W"	"chrI:145117-145339:+"
